City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Abaza,RU,52.66,90.09,33.71,67,0,3.36,clear sky
1,Doka,SD,13.52,35.77,85.24,52,4,8.3,clear sky
2,Verkhnetulomskiy,RU,68.61,31.8,28.4,92,0,3.62,clear sky
3,Barrow,US,71.29,-156.79,28.4,79,90,11.41,overcast clouds
4,Katsuura,JP,35.13,140.3,72,34,20,11.41,few clouds
5,Gayeri,BF,12.65,0.49,80.06,23,65,6.67,broken clouds
6,Ahipara,NZ,-35.17,173.17,61.14,85,2,6.93,clear sky
7,San Policarpo,PH,12.18,125.51,77.23,92,100,27.72,moderate rain
8,Busselton,AU,-33.65,115.33,84.99,27,80,8.01,broken clouds
9,Ushuaia,AR,-54.8,-68.3,42.8,70,40,3.36,scattered clouds
10,New Norfolk,AU,-42.78,147.06,54,50,0,1.01,clear sky
11,Tasiilaq,GL,65.61,-37.64,33.8,74,84,5.82,broken clouds
12,Bardiyah,LY,31.76,25.09,71.6,76,0,15.1,clear sky
13,Dikson,RU,73.51,80.55,17.13,94,90,8.79,overcast clouds
14,Fairbanks,US,64.84,-147.72,28,85,90,2.75,overcast clouds
15,Rikitea,PF,-23.12,-134.97,74.44,83,100,17.11,moderate rain
16,Joutseno,FI,61.12,28.51,33.01,92,73,1.12,mist
17,Pangoa,PE,-12.12,-73,71.6,77,65,2.75,broken clouds
18,Saint-Francois,FR,46.42,3.91,41,100,0,2.24,clear sky
19,Tshane,BW,-24.02,21.87,90.68,16,68,8.5,broken clouds
20,Arraial Do Cabo,BR,-22.97,-42.03,70.45,89,100,29.55,overcast clouds
21,Chuy,UY,-33.7,-53.46,63.01,98,63,6.73,broken clouds
22,Kapaa,US,22.08,-159.32,78.8,78,1,4.7,clear sky
23,La Palma,US,33.85,-118.05,66.2,68,90,5.61,overcast clouds
24,Vaini,TO,-21.2,-175.2,73.4,94,90,10.29,light intensity shower rain
25,Karratha,AU,-20.74,116.85,82.76,46,57,20.92,broken clouds
26,Kodiak,US,57.79,-152.41,44.6,93,90,3.36,overcast clouds
27,Richards Bay,ZA,-28.78,32.04,82.98,46,0,4.7,clear sky
28,Punta Arenas,CL,-53.15,-70.92,41,93,90,10.29,light intensity drizzle
29,Sur,OM,22.57,59.53,84.36,44,0,16.55,clear sky
30,Marsabit,KE,2.33,37.99,66.47,77,98,18.32,overcast clouds
31,Cape Town,ZA,-33.93,18.42,64.99,72,75,2.24,broken clouds
32,Butaritari,KI,3.07,172.79,81.37,70,89,7.23,overcast clouds
33,Newport,GB,51.59,-3,48,97,60,1.01,light rain
34,Port Alfred,ZA,-33.59,26.89,69.13,78,100,17.85,overcast clouds
35,Albany,US,42.6,-73.97,41,69,98,5.77,overcast clouds
36,Airai,TL,-8.93,125.41,75.24,70,90,2.44,light rain
37,Mana,GF,5.66,-53.78,79.81,81,2,10,clear sky
38,Mackay,AU,-21.15,149.2,80.01,83,40,16.11,scattered clouds
39,Tura,IN,25.52,90.22,80.58,79,21,3.13,few clouds
40,Mantua,IT,45.17,10.78,48.2,100,0,3.36,fog
41,Jamestown,US,42.1,-79.24,37.99,74,90,3.85,overcast clouds
42,Qasigiannguit,GL,68.82,-51.19,15.8,61,0,2.24,clear sky
43,Erzin,TR,36.96,36.2,80.01,23,100,8.99,overcast clouds
44,Cockburn Town,TC,21.46,-71.14,83.03,80,100,21.92,overcast clouds
45,Fortuna,US,40.6,-124.16,48.99,93,90,2.04,overcast clouds
46,Wanning,CN,18.8,110.4,80.29,86,100,13.82,overcast clouds
47,Fenyi,CN,27.81,114.67,67.59,54,71,3.27,broken clouds
48,Lebu,CL,-37.62,-73.65,46.72,82,3,6.22,clear sky
49,Brazzaville,CG,-4.27,15.28,75.2,88,75,3.36,broken clouds
50,Pevek,RU,69.7,170.31,27.82,92,2,14.7,clear sky
51,Lar,IN,26.2,83.97,88.16,28,0,10.74,clear sky
52,Mataura,NZ,-46.19,168.86,48,94,100,8.99,overcast clouds
53,Channel-Port Aux Basques,CA,47.57,-59.14,49.66,94,100,15.08,overcast clouds
54,Hermanus,ZA,-34.42,19.23,66,77,100,5.01,overcast clouds
55,Robinson,US,31.47,-97.11,55.99,87,90,4.7,overcast clouds
56,Nuevo Progreso,MX,23.17,-97.95,73.99,67,75,0.65,broken clouds
57,Mar Del Plata,AR,-38,-57.56,59,100,90,9.17,light intensity drizzle
58,Hobart,AU,-42.88,147.33,55,53,40,17.22,scattered clouds
59,Saldanha,ZA,-33.01,17.94,62.6,72,100,5.82,overcast clouds
60,Atuona,PF,-9.8,-139.03,78.73,75,0,20.87,clear sky
61,Nalut,LY,30.33,10.85,67.73,27,0,12.3,clear sky
62,Vila Franca Do Campo,PT,37.72,-25.43,62.6,77,40,6.93,scattered clouds
63,Carnarvon,AU,-24.87,113.63,75.2,73,40,23.04,scattered clouds
64,Cidreira,BR,-30.18,-50.21,69.1,89,91,18.39,overcast clouds
65,Jalalpur Pirwala,PK,29.51,71.22,96.21,10,0,9.66,clear sky
66,Khandyga,RU,62.67,135.6,12.76,93,0,1.43,clear sky
67,Hawalli,KW,29.28,48,78.8,11,5,5.82,clear sky
68,Tazovskiy,RU,67.47,78.7,16.09,97,94,7.63,overcast clouds
69,Egvekinot,RU,66.32,-179.17,21.43,95,2,5.53,clear sky
70,Payo,ID,-3.75,103.64,90.77,58,100,2.39,overcast clouds
71,Puerto Ayora,EC,-0.74,-90.35,66.99,96,99,3,overcast clouds
72,Lorengau,PG,-2.02,147.27,85.08,66,57,6.53,broken clouds
73,Yellowknife,CA,62.46,-114.35,21,85,75,5.82,broken clouds
74,Sao Joao Da Barra,BR,-21.64,-41.05,72.64,91,100,10.2,overcast clouds
75,Yar-Sale,RU,66.83,70.83,14.7,96,0,7.56,clear sky
76,Antalaha,MG,-14.9,50.28,79.07,68,5,12.01,light rain
77,Georgetown,MY,5.41,100.34,86,74,40,9.17,light rain
78,Nikolskoye,RU,59.7,30.79,39.2,93,90,2.39,moderate rain
79,Henties Bay,NA,-22.12,14.28,57,92,58,3,broken clouds
80,Vardo,NO,70.37,31.11,39.99,77,100,17.22,overcast clouds
81,Sorland,NO,67.67,12.69,43.63,62,100,29.48,overcast clouds
82,Buala,SB,-8.14,159.59,82.02,77,100,6.67,moderate rain
83,Yarada,IN,17.65,83.27,91.4,49,40,2.24,haze
84,Kamaishi,JP,39.27,141.88,53.6,76,75,5.82,broken clouds
85,Avera,US,33.19,-82.53,69.01,96,90,6.08,overcast clouds
86,Mount Gambier,AU,-37.83,140.77,55.4,62,40,23.04,light rain
87,Tuktoyaktuk,CA,69.45,-133.04,19.18,92,0,16.37,clear sky
88,Taoudenni,ML,22.68,-3.98,81.61,19,17,16.89,few clouds
89,Te Anau,NZ,-45.42,167.72,55.38,92,100,2.55,light rain
90,Bethel,US,41.37,-73.41,42.01,78,100,1.01,overcast clouds
91,Namatanai,PG,-3.67,152.43,82.18,74,29,6.64,moderate rain
92,Hithadhoo,MV,-0.6,73.08,83.88,73,4,9.37,clear sky
93,Beringovskiy,RU,63.05,179.32,30.67,96,93,10.94,overcast clouds
94,Dukat,RU,62.55,155.55,28.08,95,100,3.89,overcast clouds
95,Hilo,US,19.73,-155.09,78.8,83,90,3.36,moderate rain
96,Comodoro Rivadavia,AR,-45.87,-67.5,57.2,47,0,11.41,clear sky
97,Borovskoy,KZ,53.8,64.15,48.18,72,100,11.21,overcast clouds
98,Bengkulu,ID,-3.8,102.27,80.46,79,100,3.18,overcast clouds
99,Sabha,LY,27.04,14.43,67.46,43,0,7.7,clear sky
100,Sawtell,AU,-30.38,153.1,66.2,93,90,16.11,overcast clouds
101,Tubuala,PA,9.52,-79.03,78.01,94,40,14.07,scattered clouds
102,Saskylakh,RU,71.92,114.08,11.1,93,100,17.31,overcast clouds
103,Ancud,CL,-41.87,-73.82,45,100,20,8.05,few clouds
104,Erenhot,CN,43.65,111.98,59.2,30,0,10.67,clear sky
105,Khatanga,RU,71.97,102.5,8.04,95,100,12.59,light snow
106,Cabo San Lucas,MX,22.89,-109.91,78.01,79,0,1.01,clear sky
107,Lavrentiya,RU,65.58,-171,33.75,91,56,9.28,broken clouds
108,Zhangye,CN,38.93,100.45,53.8,36,1,11.39,clear sky
109,Klamath Falls,US,42.22,-121.78,35.6,69,1,6.93,clear sky
110,Ahuimanu,US,21.44,-157.84,80.6,78,40,4.7,scattered clouds
111,Trat,TH,12.5,102.5,87.93,51,100,4.81,moderate rain
112,Saint Anthony,US,45.02,-93.22,30,58,90,3.36,overcast clouds
113,Klaksvik,FO,62.23,-6.59,46.4,93,100,12.75,light rain
114,Mayor Pablo Lagerenza,PY,-19.93,-60.77,79.38,61,2,4.45,clear sky
115,Warrington,GB,53.39,-2.58,46.99,93,40,13.87,scattered clouds
116,Cermik,TR,38.14,39.45,53.6,46,75,4.7,broken clouds
117,Verkhoyansk,RU,67.54,133.38,17.91,90,100,8.39,overcast clouds
118,Pinega,RU,64.7,43.39,29.43,98,100,5.01,snow
119,Hasaki,JP,35.73,140.83,72,37,20,9.17,few clouds
120,Port Elizabeth,ZA,-33.92,25.57,68,88,90,14.99,overcast clouds
121,Castro,BR,-24.79,-50.01,58.57,94,0,2.17,clear sky
122,Avarua,CK,-21.21,-159.78,73.4,78,72,12.75,broken clouds
123,Ponta Do Sol,PT,32.67,-17.1,64.4,63,20,9.17,few clouds
124,Lasa,IT,46.62,10.7,48.99,100,20,2.3,few clouds
125,Constitucion,CL,-35.33,-72.42,49.26,84,9,8.46,clear sky
126,Kaitangata,NZ,-46.28,169.85,53.01,89,100,8.01,overcast clouds
127,Bambous Virieux,MU,-20.34,57.76,78.8,61,75,16.11,shower rain
128,Codajas,BR,-3.84,-62.06,74.68,94,100,0.87,overcast clouds
129,Ribeira Grande,PT,38.52,-28.7,64.78,74,99,11.9,overcast clouds
130,Abbeville,FR,50.1,1.83,52,80,100,12.84,moderate rain
131,Yumen,CN,40.28,97.2,52.29,39,0,10.89,clear sky
132,Bredasdorp,ZA,-34.53,20.04,66.2,68,100,6.93,overcast clouds
133,Bluff,NZ,-46.6,168.33,48,94,100,8.99,light rain
134,Tevaitoa,PF,-16.78,-151.5,80.1,70,96,1.23,light rain
135,Bronnoysund,NO,65.46,12.2,42.01,60,100,14.99,light rain
136,Port-Gentil,GA,-0.72,8.78,78.8,83,40,9.17,scattered clouds
137,Radhanpur,IN,23.83,71.6,90.46,30,0,3.36,clear sky
138,Nelson Bay,AU,-32.72,152.15,60.01,93,90,13.87,light intensity drizzle
139,Sinjai,ID,-5.12,120.25,88.2,60,100,9.8,overcast clouds
140,Varhaug,NO,58.61,5.65,48,99,100,3,overcast clouds
141,Ucluelet,CA,48.93,-125.55,34,95,0,9.19,clear sky
142,Roald,NO,62.58,6.13,48.2,87,75,11.41,light rain
143,Mucurapo,TT,10.67,-61.53,75.99,94,20,11.45,few clouds
144,Nybro,SE,56.74,15.91,54,100,100,9.17,overcast clouds
145,Laguna,US,38.42,-121.42,57.99,76,1,10.29,clear sky
146,Salalah,OM,17.02,54.09,86,30,0,3.36,clear sky
147,Geraldton,AU,-28.77,114.6,87.8,20,0,14.99,clear sky
148,Portland,US,45.52,-122.68,43,54,0,1.99,clear sky
149,Pangody,RU,65.85,74.49,15.28,96,0,7.92,clear sky
150,Lagoa,PT,39.05,-27.98,63.84,68,100,14.79,overcast clouds
151,Los Llanos De Aridane,ES,28.66,-17.92,69.8,60,97,10.29,overcast clouds
152,Parkes,AU,-33.13,148.18,54.03,93,100,6.46,overcast clouds
153,Thompson,CA,55.74,-97.86,23,85,90,8.05,light snow
154,Necochea,AR,-38.55,-58.74,60.01,94,99,7,overcast clouds
155,Kichera,RU,55.94,110.1,39.07,69,100,1.7,overcast clouds
156,Gat,IL,31.61,34.76,78.01,27,94,5.91,overcast clouds
157,Chokurdakh,RU,70.63,147.92,10.33,96,25,10.33,scattered clouds
158,Goundam,ML,16.41,-3.67,79.93,15,0,9.89,clear sky
159,Grosseto,IT,42.83,11.25,54,87,40,2.24,scattered clouds
160,Codrington,AU,-38.27,141.97,51.12,65,11,21.63,few clouds
161,Kahului,US,20.89,-156.47,82.4,65,1,4.7,clear sky
162,Chumikan,RU,54.72,135.31,38.57,74,95,16.35,overcast clouds
163,Isangel,VU,-19.55,169.27,80.6,65,75,5.82,broken clouds
164,Saint-Philippe,RE,-21.36,55.77,82.4,51,0,25.28,clear sky
