City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Doka,SD,85.24,clear sky,13.52,35.77,
5,Gayeri,BF,80.06,broken clouds,12.65,0.49,
7,San Policarpo,PH,77.23,moderate rain,12.18,125.51,Zal-Ann Beach Resort
8,Busselton,AU,84.99,broken clouds,-33.65,115.33,Observatory Guest House
22,Kapaa,US,78.8,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
25,Karratha,AU,82.76,broken clouds,-20.74,116.85,ibis Styles Karratha
27,Richards Bay,ZA,82.98,clear sky,-28.78,32.04,BON Hotel Waterfront Richards Bay
29,Sur,OM,84.36,clear sky,22.57,59.53,Sur Plaza Hotel
32,Butaritari,KI,81.37,overcast clouds,3.07,172.79,Isles Sunset Lodge
36,Airai,TL,75.24,light rain,-8.93,125.41,Juvinal Martin
37,Mana,GF,79.81,clear sky,5.66,-53.78,LE SAMANA
38,Mackay,AU,80.01,scattered clouds,-21.15,149.2,International Lodge Motel
39,Tura,IN,80.58,few clouds,25.52,90.22,Hotel RIKMAN Continental
43,Erzin,TR,80.01,overcast clouds,36.96,36.2,Artemis Otel
44,Cockburn Town,TC,83.03,overcast clouds,21.46,-71.14,Osprey Beach Hotel
46,Wanning,CN,80.29,overcast clouds,18.8,110.4,Paradise Hotel
49,Brazzaville,CG,75.2,broken clouds,-4.27,15.28,Hotel Murex
51,Lar,IN,88.16,clear sky,26.2,83.97,Ovaiskarni ward Lar
60,Atuona,PF,78.73,clear sky,-9.8,-139.03,Villa Enata
63,Carnarvon,AU,75.2,scattered clouds,-24.87,113.63,Hospitality Carnarvon
67,Hawalli,KW,78.8,clear sky,29.28,48.0,Holiday Inn Kuwait Al Thuraya City
72,Lorengau,PG,85.08,broken clouds,-2.02,147.27,Lorengau Harbourside Hotel
76,Antalaha,MG,79.07,light rain,-14.9,50.28,Hotel Vitasoa
77,Georgetown,MY,86.0,light rain,5.41,100.34,Cititel Penang
82,Buala,SB,82.02,moderate rain,-8.14,159.59,Maringe Lagoon Lodge
88,Taoudenni,ML,81.61,few clouds,22.68,-3.98,
91,Namatanai,PG,82.18,moderate rain,-3.67,152.43,Namatanai Hotel
92,Hithadhoo,MV,83.88,clear sky,-0.6,73.08,Scoop Guest House
