City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kaitangata,NZ,2020-10-25 03:48:15,-46.28,169.85,59.0,74,100,23.0
1,Rikitea,PF,2020-10-25 03:48:15,-23.12,-134.97,75.0,83,98,20.54
2,San Cristobal,VE,2020-10-25 03:45:41,7.77,-72.22,66.51,81,26,1.28
3,Teahupoo,PF,2020-10-25 03:48:15,-17.83,-149.27,80.01,83,75,13.87
4,Upernavik,GL,2020-10-25 03:48:15,72.79,-56.15,20.41,91,74,7.61
5,Langxiang,CN,2020-10-25 03:48:15,46.95,128.88,46.02,55,0,5.3
6,Vaini,TO,2020-10-25 03:48:15,-21.2,-175.2,75.2,88,75,10.29
7,Humberto De Campos,BR,2020-10-25 03:48:16,-2.6,-43.46,79.93,79,85,6.26
8,Iqaluit,CA,2020-10-25 03:48:16,63.75,-68.51,19.4,79,75,4.7
9,Geraldton,AU,2020-10-25 03:48:16,-28.77,114.6,96.8,13,0,16.11
10,Corvallis,US,2020-10-25 03:46:40,44.56,-123.26,48.2,66,75,11.41
11,Labuhan,ID,2020-10-25 03:48:16,-6.88,112.21,89.38,58,80,2.28
12,Kingston,JM,2020-10-25 03:43:52,18.0,-76.79,80.6,88,75,13.87
13,Nantucket,US,2020-10-25 03:48:16,41.28,-70.1,55.99,82,90,21.92
14,Davila,PH,2020-10-25 03:48:16,18.47,120.58,78.8,94,90,3.36
15,Hasaki,JP,2020-10-25 03:43:17,35.73,140.83,72.0,39,20,6.93
16,Castro,BR,2020-10-25 03:48:17,-24.79,-50.01,60.39,94,68,3.8
17,Chengde,CN,2020-10-25 03:48:17,40.97,117.94,61.34,29,54,1.92
18,Nsanje,MW,2020-10-25 03:48:17,-16.92,35.26,70.65,79,0,3.98
19,Changji,CN,2020-10-25 03:48:17,44.02,87.32,44.6,75,0,4.47
20,Hermanus,ZA,2020-10-25 03:48:17,-34.42,19.23,60.01,87,50,8.68
21,Port Elizabeth,ZA,2020-10-25 03:48:17,-33.92,25.57,59.0,93,0,4.7
22,Panzhihua,CN,2020-10-25 03:47:14,26.59,101.71,69.19,59,97,1.28
23,Hilo,US,2020-10-25 03:46:48,19.73,-155.09,82.4,69,90,10.29
24,Barcelos,PT,2020-10-25 03:48:17,41.54,-8.62,60.8,100,90,25.28
25,Busselton,AU,2020-10-25 03:44:26,-33.65,115.33,84.99,25,79,6.17
26,Mataura,NZ,2020-10-25 03:48:18,-46.19,168.86,55.99,91,93,8.01
27,Dingle,PH,2020-10-25 03:48:18,11.0,122.67,79.52,87,100,2.82
28,Cam Ranh,VN,2020-10-25 03:48:18,11.92,109.16,82.4,83,75,3.36
29,Severo-Kurilsk,RU,2020-10-25 03:44:44,50.68,156.12,48.02,81,84,8.79
30,Northport,US,2020-10-25 03:48:18,33.23,-87.58,62.6,93,90,4.7
31,Ilulissat,GL,2020-10-25 03:43:25,69.22,-51.1,17.6,61,3,5.82
32,Krasnoselkup,RU,2020-10-25 03:47:17,65.7,82.47,8.71,95,82,9.26
33,Kapaa,US,2020-10-25 03:48:19,22.08,-159.32,82.4,69,20,10.29
34,Khatanga,RU,2020-10-25 03:48:19,71.97,102.5,7.63,95,100,13.85
35,Tuktoyaktuk,CA,2020-10-25 03:48:19,69.45,-133.04,24.8,85,75,23.04
36,Naze,JP,2020-10-25 03:48:19,28.37,129.48,77.0,50,40,12.75
37,Mbinga,TZ,2020-10-25 03:48:19,-10.93,35.02,63.28,77,12,4.16
38,Kalabo,ZM,2020-10-25 03:48:19,-14.97,22.68,66.04,29,66,4.21
39,Bredasdorp,ZA,2020-10-25 03:48:19,-34.53,20.04,60.01,87,35,4.85
40,Hobart,AU,2020-10-25 03:48:14,-42.88,147.33,60.01,48,75,17.22
41,Estacion Coahuila,MX,2020-10-25 03:48:20,32.19,-115.0,82.4,47,90,9.4
42,Tuatapere,NZ,2020-10-25 03:48:20,-46.13,167.68,55.99,91,100,8.01
43,Darnah,LY,2020-10-25 03:48:20,32.77,22.64,68.83,76,0,13.58
44,Port Alfred,ZA,2020-10-25 03:48:20,-33.59,26.89,65.79,89,1,9.08
45,Pitsunda,GE,2020-10-25 03:48:20,43.16,40.34,50.0,66,97,11.18
46,Punta Arenas,CL,2020-10-25 03:46:36,-53.15,-70.92,41.0,100,90,9.17
47,Bluff,NZ,2020-10-25 03:48:20,-46.6,168.33,55.99,91,96,8.01
48,Sao Felix Do Xingu,BR,2020-10-25 03:48:21,-6.64,-51.99,71.65,94,97,2.08
49,Leningradskiy,RU,2020-10-25 03:44:32,69.38,178.42,23.09,91,0,9.73
50,Barrow,US,2020-10-25 03:48:21,71.29,-156.79,30.2,86,90,17.22
51,Nerchinskiy Zavod,RU,2020-10-25 03:48:21,51.31,119.61,42.3,60,30,3.8
52,Longyearbyen,SJ,2020-10-25 03:48:21,78.22,15.64,21.2,79,75,3.36
53,Clyde River,CA,2020-10-25 03:48:21,70.47,-68.59,19.4,79,90,11.41
54,Souillac,MU,2020-10-25 03:43:26,-20.52,57.52,71.6,83,75,11.41
55,Kumta,IN,2020-10-25 03:48:21,14.42,74.4,82.04,68,16,5.14
56,Namibe,AO,2020-10-25 03:48:22,-15.2,12.15,67.42,82,77,4.54
57,Yumen,CN,2020-10-25 03:48:22,40.28,97.2,47.17,50,47,6.8
58,Arraial Do Cabo,BR,2020-10-25 03:48:22,-22.97,-42.03,69.82,93,100,22.21
59,Vao,NC,2020-10-25 03:48:22,-22.67,167.48,73.63,80,70,16.96
60,East London,ZA,2020-10-25 03:48:22,-33.02,27.91,66.2,93,90,3.36
61,Ulaanbaatar,MN,2020-10-25 03:48:22,47.91,106.88,39.2,38,0,2.24
62,Alofi,NU,2020-10-25 03:48:22,-19.06,-169.92,77.0,83,95,19.46
63,Hanzhong,CN,2020-10-25 03:43:30,33.07,107.03,68.59,50,0,2.13
64,Worthington,US,2020-10-25 03:48:22,40.09,-83.02,44.01,75,1,6.93
65,Tiksi,RU,2020-10-25 03:48:23,71.69,128.87,9.95,90,100,27.94
66,Makakilo City,US,2020-10-25 03:48:23,21.35,-158.09,82.4,69,1,4.7
67,Victoria,HK,2020-10-25 03:46:45,22.29,114.16,78.01,58,72,3.0
68,Sobradinho,BR,2020-10-25 03:48:23,-12.83,-39.1,69.01,97,24,1.32
69,Yellowknife,CA,2020-10-25 03:48:23,62.46,-114.35,23.0,67,75,2.21
70,Noumea,NC,2020-10-25 03:48:23,-22.28,166.46,91.4,43,40,11.41
71,Tapes,BR,2020-10-25 03:48:23,-30.67,-51.4,66.33,95,30,7.05
72,Jawhar,SO,2020-10-25 03:45:50,2.78,45.5,79.59,79,92,10.13
73,Thunder Bay,CA,2020-10-25 03:45:15,48.4,-89.32,27.0,79,5,4.7
74,Cape Town,ZA,2020-10-25 03:48:24,-33.93,18.42,60.01,82,40,2.24
75,Omsukchan,RU,2020-10-25 03:48:24,62.53,155.8,33.31,90,99,1.36
76,Srednekolymsk,RU,2020-10-25 03:46:29,67.45,153.68,17.85,96,8,4.7
77,Albany,US,2020-10-25 03:48:24,42.6,-73.97,45.0,67,70,5.99
78,Chuy,UY,2020-10-25 03:48:24,-33.7,-53.46,62.1,98,9,6.31
79,Vung Tau,VN,2020-10-25 03:48:24,10.35,107.08,81.77,76,15,3.02
80,Jamestown,US,2020-10-25 03:48:24,42.1,-79.24,41.0,86,90,5.26
81,New Norfolk,AU,2020-10-25 03:48:24,-42.78,147.06,60.01,46,63,1.99
82,Vardo,NO,2020-10-25 03:48:25,70.37,31.11,39.11,74,99,17.98
83,Bethel,US,2020-10-25 03:48:25,41.37,-73.41,45.0,78,64,1.99
84,Chernyshevskiy,RU,2020-10-25 03:48:25,63.01,112.47,26.11,94,97,4.56
85,Batagay-Alyta,RU,2020-10-25 03:48:25,67.8,130.41,14.04,88,100,4.36
86,Avarua,CK,2020-10-25 03:44:32,-21.21,-159.78,75.2,73,47,11.41
87,Nipawin,CA,2020-10-25 03:45:03,53.37,-104.0,23.0,62,90,12.75
88,Rawson,AR,2020-10-25 03:47:24,-43.3,-65.1,58.59,57,77,6.85
89,Esperance,AU,2020-10-25 03:48:26,-33.87,121.9,68.0,45,40,14.99
90,Whangamata,NZ,2020-10-25 03:48:26,-37.2,175.87,69.01,73,42,5.99
91,Meulaboh,ID,2020-10-25 03:48:26,4.14,96.13,75.79,90,100,5.1
92,Aklavik,CA,2020-10-25 03:43:39,68.22,-135.01,24.8,73,75,4.7
93,Port-Gentil,GA,2020-10-25 03:48:26,-0.72,8.78,78.22,84,100,13.09
94,Kedrovyy,RU,2020-10-25 03:48:26,56.17,91.82,28.4,74,40,8.95
95,Alangayam,IN,2020-10-25 03:48:26,12.6,78.75,78.62,74,96,0.69
96,Lixourion,GR,2020-10-25 03:48:26,38.2,20.43,64.76,81,99,2.26
97,Yen Bai,VN,2020-10-25 03:48:27,21.7,104.87,80.17,47,14,2.55
98,Mitsamiouli,KM,2020-10-25 03:48:27,-11.38,43.28,79.21,74,1,16.31
99,Tekkali,IN,2020-10-25 03:48:27,18.62,84.23,83.52,57,64,3.04
100,Jieznas,LT,2020-10-25 03:48:27,54.6,24.17,50.0,87,90,4.7
101,Leavenworth,US,2020-10-25 03:48:27,39.23,-95.03,39.99,75,9,3.0
102,Atuona,PF,2020-10-25 03:48:27,-9.8,-139.03,78.67,75,25,21.21
103,Saint-Philippe,RE,2020-10-25 03:48:27,-21.36,55.77,77.0,47,0,5.82
104,Kodiak,US,2020-10-25 03:44:25,57.79,-152.41,44.6,93,90,2.73
105,Carnarvon,AU,2020-10-25 03:48:28,-24.87,113.63,77.0,69,75,17.22
106,Gamba,GA,2020-10-25 03:48:28,-2.65,10.0,76.21,89,100,7.23
107,Berlevag,NO,2020-10-25 03:48:28,70.86,29.09,38.41,76,98,15.46
108,Alta Floresta,BR,2020-10-25 03:48:28,-9.88,-56.09,70.9,95,100,0.74
109,Bengkulu,ID,2020-10-25 03:48:28,-3.8,102.27,84.29,65,99,5.21
110,Paso De Carrasco,UY,2020-10-25 03:48:28,-34.86,-56.05,62.6,100,75,6.93
111,Yei,SS,2020-10-25 03:48:28,4.09,30.68,66.63,93,97,1.1
112,Dombas,NO,2020-10-25 03:48:28,62.07,9.12,39.18,83,100,12.66
113,Yasothon,TH,2020-10-25 03:48:28,15.75,104.13,78.8,61,40,4.7
114,Puro,PH,2020-10-25 03:48:29,12.48,123.38,83.43,79,100,14.99
115,Yinchuan,CN,2020-10-25 03:48:29,38.47,106.27,59.29,35,97,2.93
